programa , Latencia  , Over -O0  , Over -O0 op , Over -O1  , Over -O1 op , Over -O2  , Over -O2 op , Over -O3 op , Over -OX  , Over -OX op , problematic
IMG_quantize_c , 2812 , 2.1575391180654337 , 3.021414342629482 , 0.7140825035561877 , 1 , 0.7140825035561877 , 1 , 0.7624466571834992 , 1.0677290836653386 , 0.7140825035561877 , 1 ,91	
IMG_yc_demux_le16_c , 636 , 2.0220125786163523 , 2.2249134948096887 , 0.9088050314465409 , 1 , 0.9088050314465409 , 1 , 0.9088050314465409 , 1 , 0.9088050314465409 , 1 ,96	
IMG_erode_bin_c , 4387 , 3.2163209482562114 , 3.370759675107501 , 0.9541828128561659 , 1 , 0.9541828128561659 , 1 , 0.9541828128561659 , 1 , 0.9541828128561659 , 1 ,95	
DSP_q15tofl_c , 921 , 1.3680781758957654 , 1.863905325443787 , 0.7339847991313789 , 1 , 0.7339847991313789 , 1 , 0.7339847991313789 , 1 , 0.7339847991313789 , 1 ,93	
DSP_minval_c , 1158 , 1.6830742659758204 , 1.6830742659758204 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 ,97	
DSP_minerror_c , 51439 , 2.1012850172048445 , 4.182324717535985 , 0.5024203425416512 , 1 , 0.5024203425416512 , 1 , 0.5024203425416512 , 1 , 0.5024203425416512 , 1 ,99	
IMG_idct_8x8_12q4_c , 24712 , 2.5245224991906765 , 2.5707104005274437 , 0.9820330203949498 , 1 , 0.988386209129168 , 1.0064694247568815 , 0.988386209129168 , 1.0064694247568815 , 0.9820330203949498 , 1 ,95	
IMG_wave_horz_c , 127937 , 1.3778734846057044 , 1.7651753349488315 , 0.7805873203217208 , 1 , 0.7805873203217208 , 1 , 0.7805873203217208 , 1 , 0.7805873203217208 , 1 ,95	
IMG_sad_8x8_c , 1730 , 1.9485549132947977 , 3.8394077448747153 , 0.507514450867052 , 1 , 0.507514450867052 , 1 , 0.507514450867052 , 1 , 0.507514450867052 , 1 ,97	
DSP_mul32_c , 12124 , 2.1938304190036293 , 2.5170814800794927 , 0.8715770372814253 , 1 , 0.8715770372814253 , 1 , 0.8715770372814253 , 1 , 0.8715770372814253 , 1 ,96	
IMG_corr_gen_c , 160106 , 1.7941863515421033 , 2.242291780501132 , 0.8489625623024746 , 1.0609944578877528 , 0.8134985572058511 , 1.016673171493248 , 0.800157395725332 , 1 , 0.800157395725332 , 1 ,97	
DSP_w_vec_c , 9097 , 1.1402660217654172 , 1.675767366720517 , 0.6804441024513576 , 1 , 0.6804441024513576 , 1 , 0.6804441024513576 , 1 , 0.6804441024513576 , 1 ,98	
DSP_blk_eswap16_c , 4276 , 2.572029934518241 , 3.001637554585153 , 0.8568755846585594 , 1 , 0.8568755846585594 , 1 , 0.8568755846585594 , 1 , 0.8568755846585594 , 1 ,99	
DSP_vecsumsq_c , 4661 , 1.9472216262604591 , 2.3343621399176953 , 0.8341557605664021 , 1 , 0.8341557605664021 , 1 , 0.8341557605664021 , 1 , 0.8341557605664021 , 1 ,95	
DSP_mat_trans_c , 17427 , 2.6367705284902736 , 3.2469615602035047 , 0.8120732197165318 , 1 , 0.8120732197165318 , 1 , 0.8125896597234177 , 1.0006359525155455 , 0.8120732197165318 , 1 ,96	
IMG_dilate_bin_c , 13015 , 1.0841336918939686 , 2.5956585724797647 , 0.41767191701882445 , 1 , 0.41767191701882445 , 1 , 0.41767191701882445 , 1 , 0.41767191701882445 , 1 ,99	
IMG_fdct_8x8_c , 19919 , 2.6402931874090063 , 2.6402931874090063 , 1.0111451378081229 , 1.0111451378081229 , 1.0119483909834832 , 1.0119483909834832 , 1.0119483909834832 , 1.0119483909834832 , 1.0111451378081229 , 1.0111451378081229 ,98	
IMG_pix_expand_c , 23651 , 1.086465688554395 , 2.085206524385296 , 0.521035051372035 , 1 , 0.521035051372035 , 1 , 0.521035051372035 , 1 , 0.521035051372035 , 1 ,97	
DSP_dotprod_c , 960 , 1.725 , 2.0024183796856105 , 0.8614583333333333 , 1 , 0.8614583333333333 , 1 , 0.8614583333333333 , 1 , 0.8614583333333333 , 1 ,97	
DSP_maxidx_c , 1168 , 1.7183219178082192 , 1.7183219178082192 , 1.4263698630136987 , 1.4263698630136987 , 1.4263698630136987 , 1.4263698630136987 , 1.4263698630136987 , 1.4263698630136987 , 1.4263698630136987 , 1.4263698630136987 ,97	
DSP_blk_eswap32_c , 3596 , 2.743047830923248 , 3.2046783625730995 , 0.8559510567296996 , 1 , 0.8559510567296996 , 1 , 0.8559510567296996 , 1 , 0.8559510567296996 , 1 ,96	
DSP_firlms2_c , 909 , 1.757975797579758 , 1.9229843561973525 , 0.9141914191419142 , 1 , 0.9240924092409241 , 1.0108303249097472 , 0.9240924092409241 , 1.0108303249097472 , 0.9141914191419142 , 1 ,91	
